k,avg_sample_mean
1,0.803
2,0.781
3,0.7923333333333332
4,0.7995
5,0.7836000000000001
6,0.7956666666666667
7,0.7911428571428571
8,0.785125
9,0.7891111111111111
10,0.7859
11,0.793
12,0.79
13,0.7878461538461539
14,0.7894285714285715
15,0.7813333333333333
16,0.7855625
17,0.789
18,0.7867222222222223
19,0.787578947368421
20,0.78355
21,0.7880952380952381
22,0.7866363636363636
23,0.7838695652173913
24,0.7844166666666667
25,0.7869200000000001
26,0.7870769230769231
27,0.7879629629629631
28,0.7885714285714286
29,0.7880344827586206
30,0.7876000000000002
31,0.788741935483871
32,0.78578125
33,0.7866060606060605
34,0.7889117647058823
35,0.7899142857142858
36,0.7844166666666667
37,0.7876486486486487
38,0.7854736842105262
39,0.7862820512820514
40,0.78725
41,0.7862439024390244
42,0.7828095238095238
43,0.7884418604651161
44,0.7897272727272727
45,0.785088888888889
46,0.7893260869565217
47,0.786659574468085
48,0.7879791666666668
49,0.787408163265306
50,0.78846
51,0.7839411764705883
52,0.7873653846153845
53,0.7833207547169813
54,0.7885
55,0.7884181818181818
56,0.7863035714285713
57,0.7881228070175439
58,0.7860689655172414
59,0.789508474576271
60,0.7873333333333332
61,0.7840983606557377
62,0.788258064516129
63,0.785047619047619
64,0.786140625
65,0.7874769230769232
66,0.7864545454545455
67,0.7853283582089553
68,0.7855882352941176
69,0.7890289855072464
70,0.7856142857142858
71,0.7859577464788733
72,0.7864166666666668
73,0.7887260273972603
74,0.7878243243243244
75,0.78712
76,0.7892894736842107
77,0.7864155844155843
78,0.789397435897436
79,0.7874303797468356
80,0.7850750000000001
81,0.7880370370370371
82,0.788219512195122
83,0.7863734939759035
84,0.7853214285714285
85,0.7850352941176473
86,0.7877558139534883
87,0.7890229885057471
88,0.7881136363636363
89,0.7859775280898876
90,0.7881000000000001
91,0.78789010989011
92,0.7865978260869565
93,0.787548387096774
94,0.7881595744680852
95,0.7894
96,0.7877395833333334
97,0.7866701030927836
98,0.7883061224489797
99,0.7873939393939394
100,0.78631
101,0.7894356435643565
102,0.7851960784313726
103,0.7882912621359224
104,0.788
105,0.7870285714285715
106,0.7885377358490566
107,0.7865327102803737
108,0.7859722222222222
109,0.7882752293577983
110,0.7875818181818183
111,0.7866036036036037
112,0.7885803571428571
113,0.7856548672566371
114,0.7864912280701755
115,0.7895043478260869
116,0.7883706896551723
117,0.7878888888888889
118,0.7888728813559321
119,0.787310924369748
120,0.7873916666666666
121,0.7876528925619835
122,0.7898606557377049
123,0.7871382113821137
124,0.7870322580645162
125,0.7876320000000001
126,0.7873412698412698
127,0.78696062992126
128,0.7873984375
129,0.7869224806201548
130,0.7882692307692308
131,0.7875343511450382
132,0.7867575757575758
133,0.7892857142857143
134,0.7879626865671642
135,0.7880518518518519
136,0.7866323529411766
137,0.7867080291970803
138,0.787036231884058
139,0.7882086330935251
140,0.7884714285714286
141,0.7884113475177305
142,0.7877535211267604
143,0.7877062937062937
144,0.7879375
145,0.7880758620689655
146,0.7871369863013699
147,0.7885646258503402
148,0.7874256756756757
149,0.7878590604026845
150,0.7870466666666667
151,0.7890728476821193
152,0.7876644736842107
153,0.7886143790849673
154,0.7873571428571429
155,0.7887290322580646
156,0.7871923076923077
157,0.7877324840764331
158,0.7882278481012659
159,0.7886289308176101
160,0.78650625
161,0.7881801242236024
162,0.7866851851851853
163,0.7879079754601228
164,0.7884329268292684
165,0.7870484848484848
166,0.7882831325301205
167,0.7868443113772456
168,0.7879464285714287
169,0.7871183431952663
170,0.7884941176470589
171,0.7875614035087718
172,0.7882848837209302
173,0.7881676300578034
174,0.7867931034482758
175,0.7889885714285715
176,0.7873352272727272
177,0.786768361581921
178,0.7888370786516854
179,0.787340782122905
180,0.7878222222222223
181,0.7871602209944751
182,0.7869560439560441
183,0.7875300546448089
184,0.7874184782608696
185,0.7865783783783784
186,0.7870913978494622
187,0.787
188,0.78775
189,0.7869047619047619
190,0.7878894736842106
191,0.7870994764397906
192,0.788015625
193,0.7890518134715026
194,0.7869278350515465
195,0.7880307692307693
196,0.7872448979591836
197,0.7890710659898478
198,0.7876515151515152
199,0.7870402010050251
200,0.788415
201,0.7877263681592039
202,0.7877128712871286
203,0.7872266009852217
204,0.7864264705882353
205,0.7876829268292683
206,0.7869466019417475
207,0.787304347826087
208,0.7879423076923077
209,0.7884736842105262
210,0.7872380952380954
211,0.7877203791469194
212,0.7881933962264152
213,0.7870892018779343
214,0.7885467289719625
215,0.7882279069767442
216,0.7876388888888889
217,0.7866958525345622
218,0.7880275229357797
219,0.7877671232876713
220,0.7876227272727272
221,0.7867556561085973
222,0.787882882882883
223,0.7884035874439462
224,0.7882946428571429
225,0.7884044444444444
226,0.7883008849557521
227,0.7871277533039647
228,0.7868771929824561
229,0.7875895196506549
230,0.7878521739130435
231,0.7872077922077921
232,0.7877025862068965
233,0.7871673819742488
234,0.7874059829059832
235,0.788468085106383
236,0.7875381355932203
237,0.7880801687763712
238,0.7872268907563027
239,0.7878995815899583
240,0.7881083333333333
241,0.7881659751037345
242,0.787297520661157
243,0.7876666666666665
244,0.7867868852459017
245,0.7871061224489796
246,0.7870447154471545
247,0.7866923076923077
248,0.7880766129032258
249,0.7873212851405623
250,0.7876320000000001
251,0.7878247011952192
252,0.7878849206349208
253,0.7869407114624506
254,0.7877204724409449
255,0.7881490196078432
256,0.787828125
257,0.7877665369649807
258,0.7879341085271317
259,0.7876293436293436
260,0.7873807692307693
261,0.7872452107279694
262,0.787854961832061
263,0.786912547528517
264,0.7875151515151515
265,0.7869547169811322
266,0.787124060150376
267,0.7869588014981272
268,0.7878320895522388
269,0.7872973977695167
270,0.7878481481481482
271,0.788450184501845
272,0.7879595588235294
273,0.7874358974358976
274,0.7872919708029198
275,0.7878472727272727
276,0.7877210144927537
277,0.7874404332129965
278,0.7880251798561151
279,0.7870967741935483
280,0.7878678571428572
281,0.7880996441281138
282,0.7878971631205672
283,0.7875477031802122
284,0.7876161971830986
285,0.7874561403508772
286,0.7869335664335665
287,0.7871846689895471
288,0.7877569444444443
289,0.7876262975778547
290,0.7875172413793103
291,0.7869518900343644
292,0.7868869863013699
293,0.7870955631399318
294,0.7878503401360545
295,0.7872881355932204
296,0.7875675675675676
297,0.7876902356902357
298,0.7878657718120805
299,0.7879264214046823
300,0.78774
